"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"MLT","","ALL","2011","84"
"","EU_AFTER_MAY2004","ALL","1987","95.89713138"
"GEO","","ALL","2010","96"
"MLT","","ALL","1994","77"
"EST","","ALL","2011","99"
"","EU_AFTER_MAY2004","ALL","1991","95.50729582"
"","EU_AFTER_MAY2004","ALL","1989","94.69533376"
"HUN","","ALL","2014","99"
"UKR","","ALL","2008","95"
"ALB","","ALL","2010","99"
"CZE","","ALL","1993","98"
"HUN","","ALL","2015","99"
"CZE","","ALL","1994","95"
"HUN","","ALL","2010","99"
"GRC","","ALL","2012","35"
"SRB","","ALL","1993","68"
"MLT","","ALL","2007","78"
"MNE","","ALL","2012","95"
"GEO","","ALL","2015","96"
"CZE","","ALL","1997","97"
"UKR","","ALL","1990","91"
"","EU_AFTER_MAY2004","ALL","1994","96.30202346"
"UKR","","ALL","2006","97"
"MLT","","ALL","2006","80"
"SRB","","ALL","1992","77"
"UKR","","ALL","2004","98"
"SWE","","ALL","1986","14"
"GRC","","ALL","2013","35"
"POL","","ALL","2012","94"
"MDA","","ALL","2013","96"
"TUR","","ALL","2015","96"
"","SEEHN","ALL","1993","82.1234186"
"MDA","","ALL","1984","95"
"SRB","","ALL","2004","97"
"UZB","","ALL","2004","99"
"UKR","","ALL","2001","98"
"SWE","","ALL","2006","21"
"","EU_MEMBERS","ALL","2002","70.84074289"
"CZE","","ALL","1991","98"
"ALB","","ALL","2012","96"
"GEO","","ALL","1982","93"
"EST","","ALL","1999","99"
"FRA","","ALL","1993","79"
"NOR","","ALL","2007","93"
"UZB","","ALL","1998","97"
"SWE","","ALL","1993","13"
"ISR","","ALL","1981","70"
"CZE","","ALL","1999","98"
"POL","","ALL","2013","93"
"MLT","","ALL","1984","63"
"GEO","","ALL","2014","96"
"MDA","","ALL","2007","98"
"CZE","","ALL","1992","98"
"FRA","","ALL","1987","76"
"HRV","","ALL","2000","98"
"IRL","","ALL","2015","87"
"","SEEHN","ALL","1989","85.56638917"
"UZB","","ALL","2001","98"
"","EU_MEMBERS","ALL","1999","70.51174315"
"MDA","","ALL","2006","99"
"MDA","","ALL","2009","99"
